Exposure,Mean_Signal,Deviation_Pct
30,5.754569053649902,-852.5580
530,130.03118896484375,2.6794
1030,255.6438751220703,0.6310
1530,382.616943359375,0.3076
2030,509.5904541015625,0.1462
2530,633.4116821289062,-0.4460
3030,757.8682861328125,-0.7574
3530,887.1784057617188,-0.4350
4030,1014.8603515625,-0.3532
4530,1145.0745849609375,-0.0686
5030,1273.9813232421875,0.0564
5530,1396.9266357421875,-0.2669
6030,1525.847900390625,-0.1453
6530,1652.3770751953125,-0.1869
7030,1784.849365234375,0.1108
7530,1912.04736328125,0.0927
8030,2038.2462158203125,0.0278
8530,2165.177734375,0.0044
9030,2291.986083984375,-0.0218
9530,2422.382080078125,0.1031
10030,2549.40673828125,0.0831
10530,2676.71484375,0.0756
11030,2801.626708984375,-0.0167
11530,2930.722900390625,0.0418
12030,3059.909423828125,0.0984
12530,3183.46435546875,-0.0264
13030,3314.069091796875,0.0713
13530,3440.176513671875,0.0310
14030,3566.0009765625,-0.0143
14530,3689.31298828125,-0.1246
15030,3816.82177734375,-0.1177
15530,3941.902587890625,-0.1727
16030,4056.818115234375,-0.4736
16530,4094.25244140625,-2.5996
17030,4094.99951171875,-5.4476
17530,4094.999755859375,-8.1495
18030,4094.999755859375,-10.7013
18530,4094.999755859375,-13.1152
19030,4094.999755859375,-15.4020
19530,4094.999755859375,-17.5715
